Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Historic,16,c16,The Sacred Grandfather Rock ,And the Mnijikaning Fish Weir,44.60366667,-79.36783333,"A major piece of Ontario's prehistory is hidden below the new Atherley Bridge in Orillia that brings Highway 12 over the Narrows. The Narrows is a short, fast flowing strait connecting Lake Simcoe with Lake Couchiching. Preserved along its floor is a 5,000-year-old fish weir. This was constructed by Huron people to guide fish into shallow water where they could be caught. It was made of small branches woven around stout logs that were rammed into the stony riverbed. Portions of the weir can still be seen under the bridge at low water. The Huron regarded the Narrows as a sacred place because of the large numbers of fish that gathered there. Scared 'grandfather' or 'grandmother' rocks are common to many aboriginal cultures worldwide.",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C16.png
Nature,17,c17,Dorset Firetower,,45.25216667,-78.89366667,"The Dorset Fire tower is 33 metres high, it was built in 1967 and offers great views on Lake Of Bays and Dorset and the surrounding Canadian [Shield]. ",n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/C17.png
Earth History,18,c18,CMBBZ Ontario's Most Notorious Fault,Miner's Bay,44.820043,-78.773695,"The CMBBZ is marked on the ground by the highly deformed rocks of the Denna Lake Structural Complex. The spectacular road cut at Miners Bay on the southeast shore of Gull Lake, 14 kilometres south of Minden, shows a superb [Outcrop] of highly deformed [Marble].",y,,,73.61,0,-3.38,n,15,a,6,http://planetrocks.ca/wp-content/uploads/C18.png
Earth History,19,c19,CMBBZ Moore Lake,,44.798188,-78.814011,"A small roadside [Outcrop] on Highway 35, some 500 metres south of Trilogy Trail records a major event in Earth history. Among the gray colored [Gneisses] which are 1 billion years old, small dikes of a gray colored [Igneous rock] called trachy[Andesite] which are only 180 million years old. They record a surge in volcanic activity when North America broke apart from Europe and the North Atlantic Ocean began to open. This event marks the breakup of the [Supercontinent] [Pangea].",y,,,74.68,0,-1.97,n,16,a,6,http://planetrocks.ca/wp-content/uploads/C19.png
Earth History,20,c20,Granite Barrens of the Southern Shield,Last Chance Territory',44.78479,-79.169798,"Drive north from Southern Ontario and the abrupt contrast between the densely settled farmland to the south and the barren and largely vacant [Shield] couldn't be greater.  The famous Ontario geologist A.P. Coleman wrote in 1913: 'After passing the boundary... the traveler is struck by the change of scenery, rounded hills of reddish [Gneiss] rising irregularly above valleys occupied by a lake; for the region stretching two thousand miles to the north of the [Paleozoic] border is typical 'rocky lake' country, with thousands of rock-rimmed bodies of water.' Today for many Ontarians this part of the [Shield] is 'cottage country' and a chance for year round recreation but it wasn't always like that; in the nineteenth century settlers tried to make a living farming the '[Granite] barrens' of the [Shield]; it was back breaking work and largely unsuccessful.  ",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/C20.png
Historic,21,c21,Dartmoor, A Settler's S(tor)y,44.725981,-79.104685,"A 'tor' is a distinctive landform resembling a pile of boulders made out of hard, massive crystalline rocks such as [Granite]. They normally form in warm humid climates and are very common through much of the American southwest such as shown here, Africa and parts of Australia. [Granites] are cut by deep [Joints] ([Fractures]) that slowly widen as minerals (especially feldspar) in the surrounding rock rot and decompose into soft[ Clay ](called 'grus'). Eventually this leaves large 'core stones' of intact [Granite] surrounded by soft[ Clay ](See [N59]). Change climate (to a wetter one) and the[ Clay ]gets washed out leaving enormous piles of large boulders perched precariously on top of one another. Tors are common in southwest England (on Dartmoor) and this one at Dartmoor, Ontario, was almost certainly named by a settler after the distinctive [Granite] landforms of their homeland. They are very rare in Ontario because the last [Ice sheets] ran over them, knocked them down, and carried the boulders southwards as glacial [Erratics]. Dartmoor in England is famous for its [Granite] tors. The same name was given by an early settler in Ontario to his farm which has a tor in his backyard. ",y,,,2.54,0,-3.46,n,16,,5,http://planetrocks.ca/wp-content/uploads/C21.png
Earth History,22,c22,Rohallion Hill, Surrounded by the Iapetus Ocean,44.58533333,-79.0505,"The waters of the Iapetus Ocean waters that flooded Ontario some 500 million years ago were warm and clear and supported extensive [Limestone] reefs (See sites [C25], [C27], [C31]). Rounded [Precambrian] islands surrounded by [Limestone] reefs studded the coastline. One clear example of such an island still poking up through [Ordovician] [Limestone] can be seen at Rohallion, just east of Lake Simcoe, on the northeast shore of Canal Lake. It is referred to as an '[Inlier]' where older rock is surrounded by younger [Strata].",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/C22.png
Historic,23,c23,Kirkfield Lift Lock,,44.59016,-78.989403,"The Kirkfield Lift Lock is the highest point on the Trent Seven Canal (At 256 metres above sea level). It uses hydraulics to lift boats 15 metres, and at the time, it was regarded as a feat of engineering given the harsh Canadian climate. It was completed in 1907. See [C42] Peterborough Lift Lock. ",y,,,185.01,0,-1.89,n,16,,5,http://planetrocks.ca/wp-content/uploads/C23.png
Nature,24,c24,Carden Alvars,,44.61033333,-79.00016667,"An alvar is a bare, treeless [Limestone] plain. Alvar is a Scandinavian word based on 'alvaret' a large barren [Limestone] plain on the island of Öland in the southern Baltic Sea just off the coast of Sweden. Seemingly alvars are devoid of much life; soils are thin and bare rock is widely exposed. In fact, they support an amazing variety of wildlife and plants. [Limestone] alvars occur in Southern Ontario in a broad belt up to 40 kilometres wide and 200 kilometres long between Georgian Bay and Kingston immediately south of the [Shield] creating a unique but threatened ecosystem.",n,,,,,,n,16,,8,http://planetrocks.ca/wp-content/uploads/C24.png
Fossils,25,c25,Kirkfield Limestone,,44.48833333,-78.9455,"Southern and central Ontario can truly be called the ""land of [Limestones]"". [Ordovician] [Limestone] is present across a large part of the [Province], from the [Shield] to the north, Lake Ontario to the south, the Niagara [Escarpment] to the west, and Ottawa to the east. Some 500 million years ago Ontario was located much farther south than it is today, sitting at about 150 north latitude. At this time, warm tropical waters from the Iapetus Ocean flooded Ontario. Shallow tropical water lapped over the Canadian [Shield], which poked up in places in the form of small islands (See Site [C22]).",n,,,,,,n,16,,2,http://planetrocks.ca/wp-content/uploads/C25.png
Earth History,26,c26,Sandhills Kame, When Ice Came and Went,44.458,-78.90966667,"A '[ Kame ]' is the name geologists give to an isolated hill of[ Sand ]and [Gravel] dumped by a meltwater river issuing from the margin of a melting [Ice sheet]. A great example of a [ Kame ] left about 11,000 years ago when the last Canadian [Ice sheet] (the Laurentide [Ice sheet]) was retreating northwards, can be seen at the appropriately named Sandhills just south of Kirkfield.",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/C26.png
Fossils,27,c27,Zion,,44.485117,-78.81455,"Seven kilometres southwest of Fenelon Falls and 500 metres north of the cemetrey, you'll find a splendid roadside [Outcrop] of grainstones dominated by broken crinoidal stems. Gently dipping beds (""cross beds"") likely record strong seafloor currents that were created by large, ancient storms. The [Outcrop] lies on the edge of a small north facing ""cuesta"" ([Escarpment]).",n,,,,,,n,16,,2,http://planetrocks.ca/wp-content/uploads/C27.png
Earth History,28,c28,Omemee Esker,,44.277,-78.596,"Glacial landforms called ""[Eskers]"" (an old Irish word!) are long sinuous hills left when subglacial tunnel systems became choked with sediment: examples are in the classic Norwood [Esker] (Site [C41]) and the Omemee [Esker].",n,,,,,,y,14,,6,http://planetrocks.ca/wp-content/uploads/C28.png
Historic,29,c29,Ganaraska , The Dustbowl of Ontario,44.0945,-78.57366667,"In the 1930's much of the Oak Ridges [Moraine] had been cleared, the result of unbridled deforestation for creation of farmland. Being composed largely of[ Sand ]and [Gravel], the [Moraine] became badly eroded by water and wind. The result was a picture of devastation. Public concern prompted the[ Formation ]of the Ontario Conservation Authorities and reforestation of the region. Today, the Ganaraska watershed has been revitalized into a popular recreation area, a forest reborn for cross-country skiing, hiking, mountain biking, and off-roading.",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/C29.png
Nature,30,c30,Sandbanks , Ontario's Sahara,43.89833333,-77.27716667,"Sandbanks Provincial Park is located just south of Belleville on the shores of Lake Ontario. It is one of the largest freshwater dune systems in the world. Strong winds have built an impressive[ Series ]of windblown ('a[Eolian]') dunes on a sandy[ Spit ]that crosses Wellington Bay, sealing West Lake and East Lake from Lake Ontario. Some of these desert-like dunes are as high as 25 metres. They are home to an array of rare plants that helps stabilize the very fragile dunes and shifting sand.  ",n,,,,,,n,15,,8,http://planetrocks.ca/wp-content/uploads/C30.png
Fossils,31,c31,Trenton Limestone,,44.126443,-77.5942,"On Highway 6 near Kirkfield (Site [C25]), and at Trenton [Limestone] forms thin beds (called ""flags"") rich in broken fossils that are separated by [Shale]. This[ Formation ]was also the result of large tropical storms that disturbed the tropical quiet. The turbulent water swept fossil[ Debris ]into distinct storm layers. The layers between represent fair weather periods where dirty sediment-laden sea water left",y,,,343.43,0,3.7,n,14,,2,http://planetrocks.ca/wp-content/uploads/C31.png
Rocks and Minerals,32,c32,Bleasdell Boulder , Ontario's Largest Glacial Erratic,44.14783333,-77.583,"Little Norway Park commemorates the Norwegian training base built at this park in World War II. The three ton boulder that sits center on the flower[ Bed ]is a [Precambrian] glacial [Erratic] (See Sites [C32], [C45], [S105]) that was shipped all the way from Norway and unveiled by Crown Prince Harald in 1976. What is ironic is this boulder is from a part of Norway that a billion years ago formed part of the Canadian [Shield] found right here in Ontario. Thus it has returned home; a billion year homecoming journey.",n,,,,,,y,16,,4,http://planetrocks.ca/wp-content/uploads/C32.png
Rocks and Minerals,33,c33,Ontario's first Gold Rush,Richardson Gold mine and the Eldorado Copper mine 1866-1893,44.588141,-77.52011,This is the birthplace of hard rock gold mining in Ontario and the [Province]'s first gold rush. It saw the beginning of mining as a profession; lessons learned here were applied elsewhere as[ Mineral ]exploration moved into Ontario's northlands (Sites [C33] & [N3]). The site is open to the public as a reminder of when Ontarian's first realised the significance of all that rock across the [Shield] and the wealth that might lie within.,y,,,267.8,0,2.71,n,16,,4,http://planetrocks.ca/wp-content/uploads/C33.png
Rocks and Minerals,34,c34,Deloro Granite on Highway 7 ,,44.4945,-77.56883333,Deloro (meaning 'from gold' in Spanish) refers to the historic mining of gold around the margins of a large [Igneous Intrusion] called a [Granite] pluton. The [Granite] is dominated by the pink[ Mineral ]perthite is a type of feldspar named in 1843 after the town of Perth located farther east on Highway 7. The minerals amazonite (green) and moonstone (white) are gem quality forms of perthite. These rocks were mined on and off between 1870 and 1961. ,y,,,356.55,0,0.16,n,16,a,4,http://planetrocks.ca/wp-content/uploads/C34.png
Rocks and Minerals,35,c35,Marmoraton Iron Mine , The Big Hole,44.48183333,-77.65916667,The Marmoraton Iron Mine is a great place to see billion-year-old rusty-coloured Grenville [Province] rocks overlain by 470 million-year-old [Limestone] and [Sandstone]. An observation point with interpretive signs affords an excellent view of the pit and the [Stratigraphy] of its sidewalls. Public access to the deep pit is not permitted.  ,n,,,,,,y,14,a,4,http://planetrocks.ca/wp-content/uploads/C35.png
Earth History,36,c36,Ash Beds at Marmora, Catastrophic Volcanic Eruptions in the Ordovician,44.480233,-77.6875,"At Marmora, as Highway 7 descends eastward into the town, thin horizons of volcanic ash thrown out of [Ordovician] volcanoes occur within [Limestone]. These were a sign of things to come. The extensive [Limestone] reefs and shoals that survived from about 600 through to 440 million years ago began to die off when eastern North America collided with the continent of Baltica (Taconic [Orogeny]). The geological quiet was shattered with violent volcanic eruptions from the Taconic Mountains near where the Appalachian Mountains stand day. The influx of[ Mud ]and[ Sand ]killed the reefs (Site [S4]).  ",y,,,136.02,0,-0.94,n,14,a,6,http://planetrocks.ca/wp-content/uploads/C36.png
Rocks and Minerals,37,c37,Cordova Gabbro,,44.54063,-77.78636,The Cordova [Gabbro] is a [Coarse grained] dark coloured rock that cooled slowly underground which allowed crystals to grow to large sizes before it solidified.  This occurred when deep[ Mantle ]rocks melted and rose to shallow depths during the Grenville [Orogeny] when large tectonic plates collided about a billion years ago during the[ Formation ]of the [Supercontinent] [Rodinia].,n,,,,,,n,14,,4,http://planetrocks.ca/wp-content/uploads/C37.png
Earth History,38,c38,Big Knob Unconformity,,44.5285,-77.718,"The Big Knob [Unconformity] (Site [C38]) is a large rock knob found just south of Beaver Creek Road. It is a wonderful example of an [Unconformity] that displays red [Ordovician]-aged and quartz [Veins] along the outer margin of the pluton. These were mined between 1870 and 1961. The[ Mineral ]perthite is a type of feldspar named in 1843 after the town of Perth located farther east on Highway 7. The minerals amazonite (green) and moonstone (white) are gem quality forms of perthite. Deloro, meaning ""from gold"" in Spanish, is a small community just east of Marmora that developed to service the small gold mines scattered around the margins of the pluton.",n,,,,,,n,14,a,6,http://planetrocks.ca/wp-content/uploads/C38.png
Earth History,39,c39,Volcanic Ash Falls,,44.4865,-77.793,"A billion years ago this part of Ontario was the scene of a gigantic collision of Tectonic plates. To the north lay ancestral or ancient North America and to the South was ancestral South America. This event is called the Grenville [Orogeny], and was marked by high mountains much like the Himalayas today. Large volcanoes spewed volcanic ash which geologists call '[Tuff]'.",n,,,,,,n,13,,6,http://planetrocks.ca/wp-content/uploads/C39.png
Earth History,40,c40,Grenville Turbidites,,44.5115,-77.704,"These formations are unusual because most Grenville-age sediments have been so highly deformed by [Metamorphism] that they are no longer recognizable. [Turbidites] form thin beds (up to 50 centimetres thick). They are mostly made of [Sandstone] but often show ""normal grading"" where the [Sandstone] ""fines"" up into [Siltstone]. ",n,,,,,,n,14,a,6,http://planetrocks.ca/wp-content/uploads/C40.png
Earth History,41,c41,Norwood Esker,Tunnel Vision,44.393,-77.97433333,"The Norwood [Esker] is the largest [Esker] in southern Ontario at 30 kilometres. [Eskers] are interesting ""glaciofluvial"" landforms that were left by fast flowing rivers that flowed within large tunnels below [Ice sheets], generated by the water from the melting glacier. Once the glacier has retreated the [Esker] remains, essentially a meandering ridge of sediment, due to[ Sediment ]clogging these tunnels. This makes [Eskers] a great source of [Aggregates] and many are mined for that purpose, driving through the town of Norwood you will see many[ Sand ]and [Gravel] pits.  ",n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/C41.png
Earth History,42,c42,Serpent Mounds,Peterborough Drumlin Field ,44.20683333,-78.15516667,"[Ice sheets] have had a profound effect on the landscape of southern Ontario. One of the most common glacial landforms, the [Drumlin], is the name given to long hills that have a distinct streamlined shape. They resemble upturned row boats; their steep bow faces up glacier. The Peterborough [Drumlin] field is one of the best known in North America and contains more than 2000 individual [Drumlins]. Serpent Mounts Park has several large native[ Burial ]mounds that overlook Rice Lake and several island project up the lake.",n,,,,,,n,16,,6,http://planetrocks.ca/wp-content/uploads/C42.png
Historic,43,c43,Peterborough Lift Lock,,44.307937,-78.301325,It is the highest hydraulic boat lift in world at 20 metres. It was finished in 1904 and is now a national historic site of Canada. It is an impressive site seeing boats lifted up simply by the weight of a descending water filled tank called caisson weighing 1700 tons.,y,,,102.6,0,-6.45,n,16,,5,http://planetrocks.ca/wp-content/uploads/C43.png
Earth History,44,c44,Teetering Rock at Buckhorn, An Earthquake-Free Zone,44.554297,-78.34372,"While driving north approaching the Highway 23 bridge in Buckhorn in the beautiful Kawartha Lakes, one's eyes can't help but be drawn to an immense block of pink rock by the side of the road. Stop and you'll see much of the rock overhangs its base giving the appearance of almost falling over; this is the famous 'Teetering Rock.'",y,,,192.15,1,0.51,y,16,,6,http://planetrocks.ca/wp-content/uploads/C44.png
Rocks and Minerals,45,c45,Adam and Eve Glacial Erratics,,44.550907,-78.35476,"Ever wondered where those large boulders come from that are scattered through our farmlands and communities, and often used for landscaping? They are glacial [Erratics] (what used to be called 'rolling boulders', see Sites [C32], [S105], [S115]) bulldozed down from northern Ontario by [Ice sheets] that scraped the surface of the Canadian [Shield]. In that way, rocks of northern Ontario are scattered across the [Sedimentary rocks] of southern Ontario. The name '[Erratic]' comes from the Latin errare meaning to wander. There are so many that we take them for granted, yet they brought here by the last great [Ice sheet] 20,000 years ago.  The two impressive [Erratics] have been a nickname Adam and Eve.",n,,,,,,y,16,,4,http://planetrocks.ca/wp-content/uploads/C45.png
Rocks and Minerals,46,c46,Warsaw Caves,,44.462012,-78.1322,"At the end of the last [Ice age] Lake Algonquin's water flowed eastward towards the Ontario basin. Along the way, at Warsaw, the flowing water eroded the Simcoe[ Group ][Limestone] creating a canyon. Caves formed as a result of the tilting of large blocks of [Limestone] along the steep canyon walls. The area has an impressive [Limestone] [Pavement] and large potholes cut by glacial melt-waters by the end of the [Ice age]. See also sites [N58] and [W12].",n,,,,,,y,14,,4,http://planetrocks.ca/wp-content/uploads/C46.png
Historic,47,c47,Petroglyphs,Written in Stone,44.619975,-78.0465,"Hundreds of petroglyphs, which are literally ""rock"" (petro) ""engravings"" (glyphs), made by First Nations people can be seen at Petroglyphs Provincial Park, 35 kilometres north of Peterborough, the most that can be found in Canada. These 1000 year old depictions of people, animals and shamans were carved into the white [Marble] of the Central [Metasediment]ary Belt. The first engravings discovered in 1920 are now under protection in a building under the care of Curve Lake Nation. Petroglyphs Provincial Park 2249 Northey's Bay Road Woodview, Ontario K0L 3E0",n,,,,,,y,16,,5,http://planetrocks.ca/wp-content/uploads/C47.png
Earth History,48,c48,Dummer Moraine , A Thick Glacial Deposit,44.36,-77.01216667,The last great [Ice sheet] left calling cards - great ridges of[ Debris ]that developed along the [Ice sheet] margin called '[Moraine] ridges'. The Dummer [Moraine] is interesting in that it isn't composed of bulldozed[ Sediment ]or an [Interlobate] [Moraine] (where[ Sediment ]is trapped between two lobes of the glacier; Site [S17]) but instead is composed of [Limestone] rubble that was quarried by the glacier and then dumped. Highway 41 north of Napanee crosses the hummocky surface of the [Moraine]. Here you'll have excellent views of the chaotic landscape consisting of bouldery ridges and mounds separated by hollows.,n,,,,,,n,14,,6,http://planetrocks.ca/wp-content/uploads/C48.png
Rocks and Minerals,49,c49,Bear Lake Diggings,,44.960425,-78.33042,"This area near Tory Hill is a commercial collecting site where green apatite (calcium phosphate) and jet black biotite mica can be found, the latter occurring as page-like layers in what are called ""books"". Apatite was mined for fertilizer in the late 1800's. But be careful because this site was named for a reason: there are bears.",n,,,,,,n,16,a,4,http://planetrocks.ca/wp-content/uploads/C49.png
Rocks and Minerals,50,c50,Marble Lake,,45.032,-77.81971667,"Take Highway 68, some 7 kilometres south of Bancroft, and you'll pass [Marble] Lake which marks a belt of [Marble] that was once extensively quarried. If you wander around Queen's Park in Toronto take a look at the rock floors in the Whitney and MacDonald Blocks which are fine examples of [Marble] that was quarried at Bancroft.",y,,,40.14,0,3.85,n,13,a,4,http://planetrocks.ca/wp-content/uploads/C50.png
Rocks and Minerals,51,c51,Bancroft Chamber of Commerce,,45.06333333,-77.85638333,"Start your exploration of the Bancroft area by visiting the Bancroft Chamber of Commerce which will have books, information and even geologist-guided tours. Check out the town stores that sell rocks and minerals. And don't miss the famous Gemboree held every year on the Civic Holiday weekend in early August.    ",n,,,,,,y,14,a,4,http://planetrocks.ca/wp-content/uploads/C51.png
Rocks and Minerals,52,c52,The Princess Sodalite Mine,,45.071702,-77.80895,"The quarry initially opened in 1906 after the Princess of Wales requested that her residence be decorated with 130 tons of Bancroft blue sodalite. The Princess Sodalite Mine and Quarry Rock Shop and has a collecting area where you can collect your own rocks and minerals. It is located at 31241 Highway 28 East, Bancroft, K0L 1C0.",y,,,346.63,0,-4.64,n,14,a,4,http://planetrocks.ca/wp-content/uploads/C52.png
Rocks and Minerals,53,c53,Nepheline Syenite at Blue Mountain ,Homage to Beer,44.67416667,-77.942,"The Canadian [Shield] in central Ontario is rich in [Nepheline Syenite] rocks, ideal for making glass and ceramics but in short supply globally. One of the largest and purest deposits anywhere in the world occurs just north of Highway 7 near Marmora and has been mined since 1935. Those ceramic tiles in the kitchen and bathroom, and that wine or beer bottle, have probably been made from Ontario's world famous deposit that lies within a narrow belt of rock that extends some 10 kilometres northeast from Nephton to Blue Mountain, where it forms a prominent high-standing hill, and which plunges steeply down underground. It was intruded about 1000 million years ago and folded during the Grenville [Orogeny]. The rock is composed of as much as 60% of the feldspar[ Mineral ]'albite' producing a very white ceramic product when melted at about 1200C. Nephton (named after the rock) is now a ghost town but the mine still produces about 700,000 tons a year. The syenites at Nephton and Blue Mountain extend as a narrow belt through Bancroft to the northeast (See Site [C52]) into Quebec. [Marble] is a very common rock in the area (Site [C47]) and altered [Marble] was mined for talc at Madoc ([C63]).",n,,,,,,n,13,,4,http://planetrocks.ca/wp-content/uploads/C53.png
Rocks and Minerals,54,c54,Egan Chutes,,45.066807,-77.73973,"After a hard day collecting and identifying minerals, take a walk by the scenic chutes named after John Egan. In the 1850's he built several timber chutes along the York River for driving lumber downstream from Baptiste Lake. [Outcrops] showing the minerals corundum, zircon, and sodalite can all be found locally.  ",n,,,,,,n,14,a,4,http://planetrocks.ca/wp-content/uploads/C54.png
